,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
UK06518_01.h1,0,0,0,0,0,1,0,0,0,0
UK06518_01.h2,1,0,0,0,0,0,0,0,0,0
UK06518_02.h1,1,0,0,0,0,0,0,0,0,0
UK06518_02.h2,0,0,0,0,0,0,0,0,0,1
UK06518_03.h1,0,0,0,0,0,0,0,0,0,1
UK06518_03.h2,0,0,0,0,0,0,0,0,0,1
UK06518_04.h1,0,0,0,0,0,0,0,0,0,1
UK06518_04.h2,0,0,0,0,0,0,0,0,0,1
UK06518_05.h1,0,0,0,0,0,0,0,0,0,1
UK06518_05.h2,0,0,0,0,0,0,0,0,0,1
UK06518_06.h1,1,0,0,0,0,0,0,0,0,0
UK06518_06.h2,0,0,0,0,0,0,0,0,0,1
UK06518_07.h1,0,0,0,0,0,1,0,0,0,0
UK06518_07.h2,0,0,0,0,0,0,0,0,0,1
UK06518_08.h1,1,0,0,0,0,0,0,0,0,0
UK06518_08.h2,0,0,0,0,0,0,0,0,0,1
UK06518_09.h1,0,0,0,0,0,0,0,0,0,1
UK06518_09.h2,0,0,0,0,0,0,0,0,0,1
UK06518_10.h1,0,0,0,0,0,0,0,0,0,1
UK06518_10.h2,1,0,0,0,0,0,0,0,0,0
UK06518_11.h1,0,0,0,0,0,0,0,0,0,1
UK06518_11.h2,1,0,0,0,0,0,0,0,0,0
UK06518_12.h1,0,0,0,0,0,0,0,0,0,1
UK06518_12.h2,1,0,0,0,0,0,0,0,0,0
UK06518_14.h1,0,0,0,0,0,0,0,0,1,0
UK06518_14.h2,0,0,0,0,0,0,0,0,0,1
UK06518_15.h1,0,0,0,0,0,1,0,0,0,0
UK06518_15.h2,1,0,0,0,0,0,0,0,0,0
UK06518_16.h1,1,0,0,0,0,0,0,0,0,0
UK06518_16.h2,1,0,0,0,0,0,0,0,0,0
UK06518_17.h1,1,0,0,0,0,0,0,0,0,0
UK06518_17.h2,1,0,0,0,0,0,0,0,0,0
UK06518_18.h1,1,0,0,0,0,0,0,0,0,0
UK06518_18.h2,0,0,0,0,0,0,0,0,0,1
UK06518_19.h1,0,0,0,0,0,0,0,0,0,1
UK06518_19.h2,0,0,0,0,0,0,0,0,0,1
UK06518_20.h1,0,0,0,0,0,0,0,0,0,1
UK06518_20.h2,1,0,0,0,0,0,0,0,0,0
UK06518_21.h1,0,0,0,0,0,0,0,0,0,1
UK06518_21.h2,0,0,0,0,0,0,0,0,0,1
UK06518_22.h1,1,0,0,0,0,0,0,0,0,0
UK06518_22.h2,0,0,0,0,0,0,0,0,0,1
UK06518_23.h1,0,0,0,0,0,0,0,0,0,1
UK06518_23.h2,0,0,0,0,0,0,0,0,0,1
UK06518_24.h1,0,0,0,0,0,0,0,0,0,1
UK06518_24.h2,0,0,0,0,0,0,0,0,0,1
