,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
BE01260_02.h1,0,0,0,0,0,0,0,0,0,1
BE01260_02.h2,0,0,0,0,0,0,0,0,0,1
BE01260_03.h1,0,0,0,0,0,0,0,0,0,1
BE01260_03.h2,0,0,0,0,0,0,0,0,0,1
BE01260_04.h1,0,0,0,0,0,0,0,0,0,1
BE01260_04.h2,0,0,0,0,0,0,0,0,0,1
BE01260_05.h1,0,0,0,0,0,0,0,0,0,1
BE01260_05.h2,0,0,0,0,0,0,0,0,0,1
BE01260_06.h1,0,0,0,0,0,0,0,0,0,1
BE01260_06.h2,0,0,0,0,0,0,0,0,0,1
BE01260_07.h1,0,0,0,0,0,0,0,0,0,1
BE01260_07.h2,0,0,0,0,0,0,0,0,0,1
BE01260_08.h1,0,0,0,0,0,0,0,0,0,1
BE01260_08.h2,0,0,0,0,0,0,0,0,0,1
BE01260_09.h1,0,0,0,0,0,0,0,0,0,1
BE01260_09.h2,0,0,0,0,0,0,0,0,0,1
BE01260_10.h1,0,0,0,0,0,0,0,0,0,1
BE01260_10.h2,0,0,0,0,0,0,0,0,0,1
BE01260_11.h1,0,0,0,0,0,0,0,0,0,1
BE01260_11.h2,0,0,0,0,0,0,0,0,0,1
BE01260_12.h1,0,0,0,0,0,0,0,0,0,1
BE01260_12.h2,0,0,0,0,0,0,0,0,0,1
BE01260_13.h1,0,0,0,0,0,0,0,0,0,1
BE01260_13.h2,0,0,0,0,0,0,0,0,0,1
BE01260_14.h1,0,0,0,0,0,0,0,0,0,1
BE01260_14.h2,0,0,0,0,0,0,0,0,0,1
BE01260_15.h1,0,0,0,0,0,0,0,0,0,1
BE01260_15.h2,0,0,0,0,0,0,0,0,0,1
BE01260_16.h1,0,0,0,0,0,0,0,0,0,1
BE01260_16.h2,0,0,0,0,0,0,0,0,0,1
BE01260_17.h1,0,0,0,0,0,0,0,0,0,1
BE01260_17.h2,0,0,0,0,0,0,0,0,0,1
BE01260_18.h1,0,0,0,0,0,0,0,0,0,1
BE01260_18.h2,0,0,0,0,0,0,0,0,0,1
BE01260_19.h1,0,0,0,0,0,0,0,0,0,1
BE01260_19.h2,0,0,0,0,0,0,0,0,0,1
BE01260_20.h1,0,0,0,0,0,0,0,0,0,1
BE01260_20.h2,0,0,0,0,0,0,0,0,0,1
BE01260_21.h1,0,0,0,0,0,0,0,0,0,1
BE01260_21.h2,0,0,0,0,0,0,0,0,0,1
BE01260_22.h1,0,0,0,0,0,0,0,0,0,1
BE01260_22.h2,0,0,0,0,0,0,0,0,0,1
BE01260_23.h1,0,0,0,0,0,0,0,0,0,1
BE01260_23.h2,0,0,0,0,0,0,0,0,0,1
BE01260_24.h1,0,0,0,0,0,0,0,0,0,1
BE01260_24.h2,0,0,0,0,0,0,0,0,0,1
